Sr No,date,startup,vertical,subvertical,city,investors,round,amount
1487,2016-08-29,LoanTap,Consumer Internet,Lending platform for Salaried professionals,Mumbai,Jaysukh Sapra,Private Equity,28.791
1488,2016-08-29,Runnr,Consumer Internet,hyperlocal Logistics services provider,Bangalore,Nexus Venture Partners,Private Equity,67.179
1488,2016-08-29,Runnr,Consumer Internet,hyperlocal Logistics services provider,Bangalore,Blume Ventures,Private Equity,67.179
1489,2016-08-29,Zolo,Consumer Internet,on-demand online talent marketplace,Noida,Hitouch AG,Private Equity,0.0
1490,2016-08-29,Notion Press,Consumer Internet,Self-Publishing books platform,Chennai,Undisclosed HNI investors,Private Equity,9.597
1491,2016-08-29,LivSpace,Consumer Internet,Online portal for Home Design,Bangalore,Bessemer Venture Partners,Private Equity,143.955
1491,2016-08-29,LivSpace,Consumer Internet,Online portal for Home Design,Bangalore,Jungle Ventures,Private Equity,143.955
1491,2016-08-29,LivSpace,Consumer Internet,Online portal for Home Design,Bangalore,Helion Ventures,Private Equity,143.955
1492,2016-08-30,iAugmentor Labs,Technology,Assessment & Learning Platform,Gurgaon,Rajasthan Angel Investor Network & Others,Seed Funding,1.429953
1493,2016-08-30,DayBox,Consumer Internet,Fruit & Vegetable Delivery platform,New Delhi,Ashutosh Lawania,Seed Funding,0.998088
1493,2016-08-30,DayBox,Consumer Internet,Fruit & Vegetable Delivery platform,New Delhi,Rajul Jain,Seed Funding,0.998088
1493,2016-08-30,DayBox,Consumer Internet,Fruit & Vegetable Delivery platform,New Delhi,Badal Malick,Seed Funding,0.998088
1493,2016-08-30,DayBox,Consumer Internet,Fruit & Vegetable Delivery platform,New Delhi,Rishi Gupta & Others,Seed Funding,0.998088
1494,2016-08-30,Paytm,eCommerce,Mobile Wallet & ECommerce platform,Bangalore,MediaTek Inc.,Private Equity,575.82
1495,2016-08-30,CropIn,Technology,Agriculture Technology Solutions,Bangalore,Sophia Investment ApS,Private Equity,19.194
1496,2016-08-30,Canvera,Consumer Internet,Photographer Discovery & Information platform,Bangalore,Info Edge (India) Ltd,Private Equity,28.791
1497,2016-08-30,Prime Focus Technologies,Technology,Hybrid Cloud technology enabled Media ERP platform,Mumbai,Ambit Pragma,Private Equity,0.0
1498,2016-08-31,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,IDG Ventures,Private Equity,50.8641
1498,2016-08-31,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,Sequoia Capital,Private Equity,50.8641
1498,2016-08-31,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,GREE Ventures,Private Equity,50.8641
1499,2016-08-31,inclov,Consumer Internet,Matchmaking App for Disabled,Mumbai,Sarbvir Singh,Seed Funding,0.0
1499,2016-08-31,inclov,Consumer Internet,Matchmaking App for Disabled,Mumbai,Raghav Bahl,Seed Funding,0.0
1500,2016-07-01,RazorPay,Consumer Internet,Online Payment Gateway,Bangalore,MasterCard,Private Equity,0.0
1501,2016-07-01,DarwinBox,Technology,HR Software Services Startup,Hyderabad,3one4 Capital,Seed Funding,0.0
1501,2016-07-01,DarwinBox,Technology,HR Software Services Startup,Hyderabad,Tracxn Labs,Seed Funding,0.0
1501,2016-07-01,DarwinBox,Technology,HR Software Services Startup,Hyderabad,Aaruha Technology Fund,Seed Funding,0.0
1501,2016-07-01,DarwinBox,Technology,HR Software Services Startup,Hyderabad,Endiya Partners,Seed Funding,0.0
1502,2016-07-01,Venture Catalysts,Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Zaffiro Ventures,Seed Funding,4.7985
1503,2016-07-01,PressPlay TV,Consumer Internet,Video Content Discovery Platform,New Delhi,Sequoia Capital,Private Equity,0.0
1503,2016-07-01,PressPlay TV,Consumer Internet,Video Content Discovery Platform,New Delhi,SD Ventures,Private Equity,0.0
1503,2016-07-01,PressPlay TV,Consumer Internet,Video Content Discovery Platform,New Delhi,Vistaar Investment Advisors Pvt. Ltd.,Private Equity,0.0
1504,2016-07-02,Playment,Consumer Internet,Mobile Marketplace for Crowdsourced Work,Bangalore,SAIF Partners,Private Equity,6.7179
1505,2016-07-04,WealthTrust,Consumer Internet,Wealth Management App,Mumbai,India Quotient,Seed Funding,0.0
1506,2016-07-04,Curefit,Consumer Internet,Online Preventive Healthcare Platform,Bangalore,Accel Partners,Private Equity,143.955
1506,2016-07-04,Curefit,Consumer Internet,Online Preventive Healthcare Platform,Bangalore,IDG Ventures,Private Equity,143.955
1506,2016-07-04,Curefit,Consumer Internet,Online Preventive Healthcare Platform,Bangalore,Kalaari Capital,Private Equity,143.955
1507,2016-07-04,StitchWood,eCommerce,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Funding,1.9194
1508,2016-07-04,Grab.in,Logistics,hyperlocal logistics service,Mumbai,Aramex Ventures Llc,Private Equity,19.194
1509,2016-07-04,Fulfil.IO,Consumer Internet,Cloud Based ERP Software,US,Rajan Anandan,Seed Funding,0.0
1510,2016-07-04,NeoGrowth,Finance,SME Lending platform,Mumbai,IIFL Wealth Management Seed Venture Fund,Private Equity,153.552
1510,2016-07-04,NeoGrowth,Finance,SME Lending platform,Mumbai,Omidyar Network,Private Equity,153.552
1510,2016-07-04,NeoGrowth,Finance,SME Lending platform,Mumbai,Khosla Impact,Private Equity,153.552
1510,2016-07-04,NeoGrowth,Finance,SME Lending platform,Mumbai,Aspada,Private Equity,153.552
1511,2016-07-05,SeeDoc,Consumer Internet,Video Based Doctor Consulting platform App,Gurgaon,YourNest Angel Fund & Others,Private Equity,9.597
1512,2016-07-05,BookMyShow,Consumer Internet,Event & Movie Ticketing platform,Mumbai,Stripes Group,Private Equity,786.954
1512,2016-07-05,BookMyShow,Consumer Internet,Event & Movie Ticketing platform,Mumbai,Network 18,Private Equity,786.954
1512,2016-07-05,BookMyShow,Consumer Internet,Event & Movie Ticketing platform,Mumbai,Accel Partners,Private Equity,786.954
1512,2016-07-05,BookMyShow,Consumer Internet,Event & Movie Ticketing platform,Mumbai,SAIF Partners,Private Equity,786.954
1513,2016-07-05,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,Sequoia Capital,Seed Funding,16.3149
1513,2016-07-05,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,Rohit Bansal,Seed Funding,16.3149
1513,2016-07-05,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,Kunal Bahl,Seed Funding,16.3149
1513,2016-07-05,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,Sandeep Tandon,Seed Funding,16.3149
1513,2016-07-05,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,Kunal Shah,Seed Funding,16.3149
1513,2016-07-05,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,Zishaan Hayath,Seed Funding,16.3149
1513,2016-07-05,Flyrobe,eCommerce,Online fashion rental platform,Mumbai, Abhishek Jain,Seed Funding,16.3149
1514,2016-07-06,HappilyUnmarried,eCommerce,Online Merchandize etailer,New Delhi,Info Edge (India) Ltd,Private Equity,7.10178
1515,2016-07-06,Don't Scratch Your Head,Technology,Full Stack Offline & Online ERP Solution,Ahmedabad,Gaurav Singhvi,Seed Funding,2.39925
1515,2016-07-06,Don't Scratch Your Head,Technology,Full Stack Offline & Online ERP Solution,Ahmedabad,Zaffiro Ventures,Seed Funding,2.39925
1516,2016-07-06,Wedding Wishlist,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform",Chennai,Kirthiga Reddy,Seed Funding,2.850309
1516,2016-07-06,Wedding Wishlist,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform",Chennai,Renuka Ramanath,Seed Funding,2.850309
1516,2016-07-06,Wedding Wishlist,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform",Chennai,Cherry Tin,Seed Funding,2.850309
1517,2016-07-07,AppDaily,Technology,Mobile Security App development & Distribution,Mumbai,Kalaari Capital,Private Equity,19.194
1517,2016-07-07,AppDaily,Technology,Mobile Security App development & Distribution,Mumbai,Qualcomm Ventures,Private Equity,19.194
1517,2016-07-07,AppDaily,Technology,Mobile Security App development & Distribution,Mumbai,ru-Net,Private Equity,19.194
1517,2016-07-07,AppDaily,Technology,Mobile Security App development & Distribution,Mumbai,Zodius Technology Opportunities Fund,Private Equity,19.194
1517,2016-07-07,AppDaily,Technology,Mobile Security App development & Distribution,Mumbai,,Private Equity,19.194
1518,2016-07-07,Adytude,Consumer Internet,Gamified Consumer Insights Portal,New Delhi,Indian Angel Network,Private Equity,9.597
1519,2016-07-07,Quickli,Logistics,On-Demand Delivery Startup,Gurgaon,AVG Group,Private Equity,0.0
1519,2016-07-07,Quickli,Logistics,On-Demand Delivery Startup,Gurgaon,500 Startups,Private Equity,0.0
1520,2016-07-07,SpectraVR,Technology,Virtual Reality Content Studio,Mumbai,Rothenberg Ventures,Seed Funding,0.0
1521,2016-07-08,Pitstop,Consumer Internet,Online Car Repair and Servicing Booking platform,Bangalore,Alex Chua,Seed Funding,0.0
1521,2016-07-08,Pitstop,Consumer Internet,Online Car Repair and Servicing Booking platform,Bangalore,Rahul Garg,Seed Funding,0.0
1522,2016-07-08,HolaChef,Consumer Internet,Online Food Ordering & Delivery Platform,Mumbai,Kalaari Capital,Private Equity,18.71415
1522,2016-07-08,HolaChef,Consumer Internet,Online Food Ordering & Delivery Platform,Mumbai,India Quotient,Private Equity,18.71415
1523,2016-07-11,Purplle,eCommerce,Beauty Products Marketplace,Mumbai,JSW Ventures,Private Equity,57.582
1523,2016-07-11,Purplle,eCommerce,Beauty Products Marketplace,Mumbai,Blume Ventures & IvyCap Ventures,Private Equity,57.582
1524,2016-07-11,Trak N Tell,Technology,Car Tracking & Safety System,Gurgaon,Brian Acton,Private Equity,33.5895
1525,2016-07-11,Overcart.com,eCommerce,Unboxed & refurbished electronic products marketplace,Gurgaon,JSW Ventures,Private Equity,28.791
1525,2016-07-11,Overcart.com,eCommerce,Unboxed & refurbished electronic products marketplace,Gurgaon,Omidyar Network,Private Equity,28.791
1525,2016-07-11,Overcart.com,eCommerce,Unboxed & refurbished electronic products marketplace,Gurgaon,Sattva Capital,Private Equity,28.791
1525,2016-07-11,Overcart.com,eCommerce,Unboxed & refurbished electronic products marketplace,Gurgaon,Venture Works,Private Equity,28.791
1526,2016-07-12,SirionLabs,Technology,SAAS based Service Agreement Management,Gurgaon,Sequoia Capital,Private Equity,117.56325
1527,2016-07-12,GyanDhan,Consumer Internet,Education Focused Financing Platform,New Delhi,Stanford Angels & Entrepreneurs,Seed Funding,0.0
1527,2016-07-12,GyanDhan,Consumer Internet,Education Focused Financing Platform,New Delhi,Harvard Angels,Seed Funding,0.0
1528,2016-07-12,MintM,Consumer Internet,Digital Marketing & AdTech Platform,Bangalore,Mumbai Angels,Private Equity,0.0
1528,2016-07-12,MintM,Consumer Internet,Digital Marketing & AdTech Platform,Bangalore, Times Internet,Private Equity,0.0
1529,2016-07-12,HitGrit,Consumer Internet,Online Legal Consultation platform,Chandigarh,Ashish Mahajan,Seed Funding,0.0
1529,2016-07-12,HitGrit,Consumer Internet,Online Legal Consultation platform,Chandigarh,Sarvesh Sharma,Seed Funding,0.0
1530,2016-07-12,Find My Stay,Consumer Internet,Online Budget Hotel Aggregator & Booking Platform,New Delhi,Rishi Parti,Seed Funding,0.0
1530,2016-07-12,Find My Stay,Consumer Internet,Online Budget Hotel Aggregator & Booking Platform,New Delhi,Yogesh Bansal,Seed Funding,0.0
1531,2016-07-13,YAAP,Consumer Internet,"Online Content Discovery, Creation & Distribution Platform",New Delhi,Rainmaker Ventures,Private Equity,47.985
1532,2016-07-13,Utoo Cabs,Consumer Internet,Cab aggregation & Rental platform,Chennai,Ajay Piramal,Seed Funding,0.0
1533,2016-07-13,Twigly,Consumer Internet,Online Food Ordering & Delivery Startup,Gurgaon,Tracxn Labs,Seed Funding,5.7582
1533,2016-07-13,Twigly,Consumer Internet,Online Food Ordering & Delivery Startup,Gurgaon,Hyderabad Angels,Seed Funding,5.7582
1533,2016-07-13,Twigly,Consumer Internet,Online Food Ordering & Delivery Startup,Gurgaon,Kunal Shah,Seed Funding,5.7582
1533,2016-07-13,Twigly,Consumer Internet,Online Food Ordering & Delivery Startup,Gurgaon,Gaurav Bhalotia,Seed Funding,5.7582
1534,2016-07-13,ShareChat,Consumer Internet,Vernacular Language Content Creation & Sharing App,Bangalore,SAIF Partners,Private Equity,12.95595
1534,2016-07-13,ShareChat,Consumer Internet,Vernacular Language Content Creation & Sharing App,Bangalore,India Quotient,Private Equity,12.95595
1535,2016-07-13,Urban Tailor,Consumer Internet,E-Tailoring service provider,Bangalore,Unitus Seed Fund,Private Equity,0.0
1536,2016-07-13,RentMojo,Consumer Internet,Online Furniture Renting Platform,Bangalore,Accel Partners,Private Equity,47.985
1536,2016-07-13,RentMojo,Consumer Internet,Online Furniture Renting Platform,Bangalore,IDG Ventures India,Private Equity,47.985
1537,2016-07-13,CityFurnish,Consumer Internet,Online Furniture Renting Platform,Gurgaon,Brand Capital,Seed Funding,0.0
1538,2016-07-13,HEAL Institute,Healthcare,Sports Focused Healthcare Startup,Mumbai,Jaspal Bindra,Seed Funding,0.0
1538,2016-07-13,HEAL Institute,Healthcare,Sports Focused Healthcare Startup,Mumbai,Parth Jindal,Seed Funding,0.0
1539,2016-07-14,Augrav,eCommerce,Personalized precious Jewellery etailer,Coimbatore,Keiretsu Forum,Seed Funding,4.31865
1540,2016-07-14,ShoppinPal,Technology,M-Commerce Solutions for Retail Stores,Pune,Plug and Play Tech Center,Private Equity,10.26879
1540,2016-07-14,ShoppinPal,Technology,M-Commerce Solutions for Retail Stores,Pune,Steelhead Ventures & Others,Private Equity,10.26879
1541,2016-07-14,TransTutors / AskIITians,Consumer Internet,Online Education & Tutoring portals,New Delhi,500 Startups,Private Equity,0.0
1542,2016-07-15,WorkApps,Technology,Enterprise Work Management Software,Pune,SRI Capital,Seed Funding,9.597
1543,2016-07-15,BankerBay,Consumer Internet,Online Investment Banking platform,Bangalore,undisclosed investors,Private Equity,19.194
1544,2016-07-15,BaggOut,eCommerce,Women\\xe2\\x80\\x99s Fashion etailer,New Delhi,Sumit Jain,Seed Funding,0.0
1544,2016-07-15,BaggOut,eCommerce,Women\\xe2\\x80\\x99s Fashion etailer,New Delhi,Anurag Gupta,Seed Funding,0.0
1544,2016-07-15,BaggOut,eCommerce,Women\\xe2\\x80\\x99s Fashion etailer,New Delhi,Varun Khanna,Seed Funding,0.0
1544,2016-07-15,BaggOut,eCommerce,Women\\xe2\\x80\\x99s Fashion etailer,New Delhi,Faraz Khan,Seed Funding,0.0
1545,2016-07-15,TripShelf,eCommerce,Travel Package Marketplace,New Delhi,GEMS group,Seed Funding,2.39925
1546,2016-07-15,SatvaCart,eCommerce,Online Grocers,New Delhi,Abhijit Avasthi,Seed Funding,0.0
1546,2016-07-15,SatvaCart,eCommerce,Online Grocers,New Delhi,Karan Chellani,Seed Funding,0.0
1546,2016-07-15,SatvaCart,eCommerce,Online Grocers,New Delhi,SP Vijay,Seed Funding,0.0
1547,2016-07-15,Ridlr,Consumer Internet,Public Transport Mobile App,Mumbai,Times Internet,Private Equity,57.582
1547,2016-07-15,Ridlr,Consumer Internet,Public Transport Mobile App,Mumbai,Innoven Capital,Private Equity,57.582
1547,2016-07-15,Ridlr,Consumer Internet,Public Transport Mobile App,Mumbai,Matrix Partners India,Private Equity,57.582
1547,2016-07-15,Ridlr,Consumer Internet,Public Transport Mobile App,Mumbai,Qualcomm Ventures,Private Equity,57.582
1548,2016-07-18,Yellowdig,Consumer Internet,Online Learning Platform,Pune,SRI Capital,Seed Funding,6.23805
1549,2016-07-18,Zuppler,Consumer Internet,Online Food Ordering platform,New Delhi,SRI Capital,Seed Funding,6.23805
1550,2016-07-18,BlueStone,eCommerce,Jewellery Etailer,Mumbai,IIFL and Accel Partners,Private Equity,287.91
1550,2016-07-18,BlueStone,eCommerce,Jewellery Etailer,Mumbai,Kalaari Capital,Private Equity,287.91
1550,2016-07-18,BlueStone,eCommerce,Jewellery Etailer,Mumbai,IvyCap Ventures,Private Equity,287.91
1550,2016-07-18,BlueStone,eCommerce,Jewellery Etailer,Mumbai,RB Investments,Private Equity,287.91
1551,2016-07-18,underDOGS,Technology,Game Development Startup,Mumbai,Intelli Reboot Digital Pvt. Ltd,Private Equity,0.0
1552,2016-07-18,ImageProVision,Technology,Image Analysis Solutions,Pune,Satish Jamdar,Seed Funding,0.0
1553,2016-07-19,Sagacito,Technology,Cloud-Based Enterprise Solutions,New Delhi,Star India Pvt. Ltd,Private Equity,95.97
1554,2016-07-19,Deal4Loans / Wishfin,Consumer Internet,\\nLoans Comparison platform\\n\\n\\n\\n     (adsbygoogle = window.adsbygoogle || []).push({});\\n\\n,Noida,Franklin Templeton International Services Pvt. Ltd,Private Equity,143.955
1555,2016-07-19,NiYO Solutions,Technology,Payroll & Benefits Software solutions,Bangalore,Prime Venture Partners,Private Equity,9.597
1556,2016-07-19,AppLop,Consumer Internet,Mobile Apps SaaS Platform,Gurgaon,Green House Ventures Accelerator,Seed Funding,2.39925
1557,2016-07-20,Tax2Win,Consumer Internet,Online Tax Filing Portal,Jaipur,Undisclosed Investors,Private Equity,9.597
1558,2016-07-20,Truckola,Logistics,Tech-focused cargo transport startup,Mumbai,Abhishek Agarwal,Seed Funding,5.710215
1558,2016-07-20,Truckola,Logistics,Tech-focused cargo transport startup,Mumbai,Krishnakumar Nataraj,Seed Funding,5.710215
1558,2016-07-20,Truckola,Logistics,Tech-focused cargo transport startup,Mumbai,Sarath Sura,Seed Funding,5.710215
1558,2016-07-20,Truckola,Logistics,Tech-focused cargo transport startup,Mumbai,Shanti Mohan,Seed Funding,5.710215
1558,2016-07-20,Truckola,Logistics,Tech-focused cargo transport startup,Mumbai,Sarthak and Nihit Agarwal,Seed Funding,5.710215
1558,2016-07-20,Truckola,Logistics,Tech-focused cargo transport startup,Mumbai,Suramya Gupta,Seed Funding,5.710215
1559,2016-07-20,iServe Financial,Consumer Internet,Loan Comparison & Deals platform,Pune,Nilesh Shah,Seed Funding,0.0
1560,2016-07-21,MyTaxiIndia,Consumer Internet,Online Car rental booking platform,New Delhi,Nihon Kotsu Co,Private Equity,9.597
1561,2016-07-21,AbeRuk,eCommerce,Online Marketplace for books,Bangalore,Swastika Company Pvt Ltd,Seed Funding,0.0
1562,2016-07-21,Wiwigo,Consumer Internet,Inter-City Taxi Booking platform,Bangalore,Indian Angel Network,Seed Funding,5.710215
1563,2016-07-21,Drums Food,Food & Beverage,Yogurt and Ice Cream maker,Mumbai,Verlinvest,Undisclosed,0.0
1563,2016-07-21,Drums Food,Food & Beverage,Yogurt and Ice Cream maker,Mumbai,DSG Consumer Partners,Undisclosed,0.0
1564,2016-06-01,Chikoop,Consumer Internet,Free Ad based Voice Calling,Indore,Undisclosed Investors,Seed Funding,0.0
1565,2016-06-01,BRIDGEi2I,Technology,Data Analytics Platform,Bangalore,Edelweiss Private Equity,Private Equity,0.0
1566,2016-06-02,Droom,eCommerce,Online marketplace for used automobiles,New Delhi,Beenext,Private Equity,0.0
1566,2016-06-02,Droom,eCommerce,Online marketplace for used automobiles,New Delhi,Digital Garage,Private Equity,0.0
1566,2016-06-02,Droom,eCommerce,Online marketplace for used automobiles,New Delhi,Lightbox,Private Equity,0.0
1566,2016-06-02,Droom,eCommerce,Online marketplace for used automobiles,New Delhi,Beenos,Private Equity,0.0
1567,2016-06-02,Visit,Consumer Internet,On-Demand Healthcare Service provider,New Delhi,MapmyIndia,Seed Funding,0.0
1568,2016-06-02,Atomberg,Technology,"smart, energy efficient home appliance manufacturer",Mumbai,Parampara Capital,Private Equity,9.597
1569,2016-06-02,Coutloot,eCommerce,Fashion Re-Commerce Platform,Mumbai,Venture Catalysts,Seed Funding,0.0
1570,2016-06-02,Limo,Consumer Internet,Bus Aggregator Mobile app,Mumbai,Rainmaker Ventures,Private Equity,9.597
1571,2016-06-03,iCliniq,Consumer Internet,Doctor Consultation platform,Bangalore,MadhanKumar Madathupalayam,Seed Funding,0.0
1572,2016-06-03,GoGo Truck,Consumer Internet,Truck Aggregator & Booking platform,Chennai,Undisclosed Investor,Seed Funding,0.719775
1573,2016-06-03,Vyome Biosciences,Healthcare,Treatment Development for Antibiotic-resistant diseases,New Delhi,Romulus Capital,Private Equity,19.194
1574,2016-06-06,SillyMonks,Consumer Internet,Digital Media and Entertainment Startup,Hyderabad,Sreenivasa Reddy Musani,Seed Funding,4.299456
1575,2016-06-07,CueMath,Education,K-12 Maths Learning Courses,Bangalore,Sequoia Capital,Private Equity,38.388
1575,2016-06-07,CueMath,Education,K-12 Maths Learning Courses,Bangalore,Unitus Seed Fund,Private Equity,38.388
1576,2016-06-07,KrazyBee,Consumer Internet,Student Micro-Loan platform,Bangalore,Yeahmobi,Private Equity,19.194
1576,2016-06-07,KrazyBee,Consumer Internet,Student Micro-Loan platform,Bangalore,Fenqile,Private Equity,19.194
1577,2016-06-07,Intgrea,Technology,Post merger Integration Partners,Bangalore,Undisclosed Investor,Seed Funding,0.9597
1578,2016-06-07,HelpShift,Technology,Mobile CRM Platform,Pune,Microsoft Ventures,Private Equity,220.731
1578,2016-06-07,HelpShift,Technology,Mobile CRM Platform,Pune,Salesforce Ventures,Private Equity,220.731
1579,2016-06-07,CreditVidya,Technology,Credit Scoring Platform,Mumbai,Kalaari Capital,Private Equity,9.597
1580,2016-06-08,Grey Campus,Consumer Internet,Online Learning Platform,Hyderabad,Sarath Sura,Seed Funding,9.597
